Gap_Type,Requirement_ID,Category,SIL,Action_Required,Assigned_To,Status
T1,REQ-OPR-001,OPR,3,Add SysRS trace in SRS,REQ,OPEN
T1,REQ-OPR-002,OPR,3,Add SysRS trace in SRS,REQ,OPEN
T1,REQ-OPR-003,OPR,3,Add SysRS trace in SRS,REQ,OPEN
T1,REQ-OPR-004,OPR,3,Add SysRS trace in SRS,REQ,OPEN
T1,REQ-OPR-005,OPR,3,Add SysRS trace in SRS,REQ,OPEN
T1,REQ-OPR-006,OPR,3,Add SysRS trace in SRS,REQ,OPEN
T1,REQ-OPR-008,OPR,3,Add SysRS trace in SRS,REQ,OPEN
T1,REQ-SAFE-021,SAFE,3,Add SysRS trace in SRS,REQ,OPEN
T2,REQ-PERF-001,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-002,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-003,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-004,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-005,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-006,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-007,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-008,PERF,2,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-009,PERF,3,Add test cases in OSTS,TST,OPEN
T2,REQ-PERF-010,PERF,2,Add test cases in OSTS,TST,OPEN
