source_id,target_id,verified_by,verification_date,comments
HAZ-001,REQ-FUN-005,,,
HAZ-001,REQ-FUN-008,,,
HAZ-001,REQ-FUN-009,,,
HAZ-001,REQ-FUN-010,,,
HAZ-001,REQ-INT-004,,,
HAZ-001,REQ-INT-005,,,
HAZ-001,REQ-PERF-005,,,
HAZ-001,REQ-SAFE-002,,,
HAZ-001,REQ-SAFE-003,,,
HAZ-001,REQ-SAFE-005,,,
HAZ-002,REQ-INT-003,,,
HAZ-002,REQ-PERF-003,,,
HAZ-002,REQ-SAFE-004,,,
HAZ-003,REQ-FUN-001,,,
HAZ-003,REQ-FUN-010,,,
HAZ-003,REQ-INT-007,,,
HAZ-003,REQ-PERF-002,,,
HAZ-003,REQ-SAFE-001,,,
HAZ-003,REQ-SAFE-002,,,
HAZ-003,REQ-SAFE-015,,,
HAZ-004,REQ-INT-003,,,
HAZ-004,REQ-PERF-003,,,
HAZ-004,REQ-SAFE-004,,,
HAZ-005,REQ-FUN-005,,,
HAZ-005,REQ-FUN-009,,,
HAZ-005,REQ-INT-005,,,
HAZ-005,REQ-SAFE-003,,,
HAZ-005,REQ-SAFE-005,,,
HAZ-005,REQ-SAFE-006,,,
HAZ-008,REQ-INT-011,,,
HAZ-008,REQ-SAFE-012,,,
HAZ-009,REQ-FUN-012,,,
HAZ-009,REQ-FUN-013,,,
HAZ-009,REQ-FUN-014,,,
HAZ-009,REQ-INT-006,,,
HAZ-009,REQ-INT-010,,,
HAZ-009,REQ-SAFE-006,,,
HAZ-009,REQ-SAFE-008,,,
HAZ-009,REQ-SAFE-010,,,
HAZ-009,REQ-SAFE-018,,,
